year,rank,name,url,founded,street1,city,state,zip,revenue,% growth,Headcount,Industry,Revenue Raw
2017,1350,Criterion Systems,criterion-sys.com,1/1/05,8330 Boone Blvd. Suite 400,Vienna,VA,22182,48.6 million,302,233,Government Services,48584456
2017,1819,ITA INternational,ita-intl.com,1/1/05,112 Cybernetics Way Suite 112,Yorktown,VA,23693,33.9 million,212,291,Government Services,33925808
2017,3712,ReSource Pro,resourcepro.com,1/1/03,1180 AVENUE OF THE AMERICAS FL 16,New York City,NY,10036,63.6 million,81,2908,Insurance,63569542
2017,4182,Lifematters,lifemattersusa.com,1/1/04,8757 Georgia Ave #600,Silver Spring,MD,20910,25.4 million,64,763,Health,25373970
2017,4700,Celergo,celergo.com,1/1/04,750 Estate Drive Suite 110,Deerfield,IL,60015,29 million,49,131,Business Products & Services,29048900
2017,4804,KBW Financial Staffing & Recruiting,kbwfinancial.com,1/1/05,5 Bedford Farms Drive Suite 304,Bedford,NH,03110,10.9 million,46,28,Human Resources,10921134
2017,2107,Remote Medical International,remotemedical.com,1/1/03,4259 23rd Avenue West Suite 200,Seattle,WA,98199,54.7 million,175,175,Health,54701914
2017,2176,College Hunks Hauling Junk and Moving,collegehunkshaulingjunk.com,1/1/04,1513 E 9th Ave ,Tampa,FL,33605,46.9 million,168,110,Consumer Products & Services,46929191
2017,4891,Summa Technologies,summa.com,1/1/96,611 William Penn Place Suite 1200,Pittsburgh,PA,15219,35 million,44,205,IT Services,34953700
2017,4357,GeBBS Healthcare Solutions,gebbs.com,1/1/04,"4640 Admiralty Way, Suite 950 ",Marina del Rey,CA,90292,36.1 million,59,4100,Health,36097723
2017,1161,CARCHEX,carchex.com,1/1/03,118 Shawan Road Suite 210,Baltimore,MD,21030,78.6 million,358,100,Consumer Products & Services,78618621
2017,4761,Strategic Systems,strsi.com,1/1/04,485 Metro Place South Suite 270,Dublin,OH,43017,24.4 million,47,126,IT Services,24359220
2017,1539,Cali Bamboo,calibamboo.com,1/1/04,6675 Mesa Ridge Rd. ,San Diego,CA,92121,83.5 million,260,97,Manufacturing,83491127
2017,3255,Carahsoft Technology,carahsoft.com,1/1/04,1860 Michael Faraday Drive Suite 100,Reston,VA,20190,3.4 billion,99,655,Government Services,3429501727
2017,3674,Smarsh,smarsh.com,1/1/01,851 SW 6th Avenue Suite 800,Portland,OR,97204,49.1 million,82,204,Software,49067291
2017,3725,Custom Tree Care,customtreecare.com,1/1/99,3722 SW Spring Creek Ln. ,Topeka,KS,66610,4.4 million,80,30,Construction,4380936
2017,4476,DYNALABS,dynalabs.us,1/1/03,2327 CHOUTEAU AVE. ,ST. LOUIS,MO,63103,11.5 million,56,74,Health,11490022
2017,4140,Drexel Building Supply,drexelteam.com,1/1/85,227 W Main Street PO Box 510,Campbellsport,WI,53010,143.5 million,65,310,Construction,143481650
2017,3275,Forward Edge,forward-edge.net,1/1/06,2724 East Kemper Road ,Sharonville,OH,45241,14.9 million,98,44,IT Services,14851801
2017,1760,ESC Business Solutions,myesc.com,1/1/01,20 Pineview Drive ,Amherst,NY,14228,38.3 million,221,45,Human Resources,38255540
2017,4903,Nitel,nitelusa.com,1/1/97,1101 West Lake Street 6th floor,Chicago,IL,60607,81.8 million,44,149,Telecommunications,81788549
2017,1712,Pfister Energy,pfisterenergy.com,1/1/03,57 Goffle Road ,Hawthorne,NJ,07506,23.1 million,228,55,Energy,23075000
2017,2379,Sensis,sensisagency.com,1/1/98,818 S. Broadway Street Suite11000,Los Angeles,CA,90014,27.9 million,152,80,Advertising & Marketing,27936754
2017,3625,SoftNice,softnice.com,1/1/01,5050 Tilghman St Ste 115 ,Allentown,PA,18104,12.9 million,84,100,IT Services,12881900
2017,1998,Engineering and Computer Simulations,ecsorl.com,1/1/97,11825 High Tech Ave. Suite 250 ,Orlando,FL,32817,15.5 million,188,124,Government Services,15530826
2017,4628,Bomgar,bomgar.com,1/1/03,11695 Johns Creek Parkway Suite 200,Johns Creek,GA,30097,73.4 million,51,284,Software,73435394
2017,3289,BIAS,biascorp.com,1/1/00,1801 Old Alabama Road Suite 300,Roswell,GA,30076,98.7 million,97,236,IT Services,98705078
2017,3842,PeopleShare,peopleshareworks.com,1/1/05,100 Springhouse Drive Suite 200,Collegeville,PA,19426,109.2 million,76,110,Human Resources,109184208
2017,3564,Bulk TV & Internet,bulktv.com,1/1/04,"8537 Six Forks Rd., Ste. 100 ",Raleigh,NC,27615,86.3 million,86,143,Business Products & Services,86268762
2017,4022,DEEMSYS,deemsysinc.com,1/1/04,800 CROSS POINTE ROAD SUITE G,Gahanna,OH,43230,7.8 million,70,62,Education,7841403
2017,4576,Culmen International,culmen.com,1/1/04,"99 Canal Center Plaza, Suite 410 ",Alexandria,VA,22314,34.4 million,53,86,Government Services,34426966
2017,1803,Fortis Construction,fortisconstruction.com,1/1/03,1705 SW Taylor Street Suite 200,Portland,OR,97205,782.8 million,214,220,Construction,782803967
2017,4361,iVision,ivision.com,1/1/04,1430 West Peachtree Street Suite 425,Atlanta,GA,30309,54.1 million,59,115,IT Services,54146368
2017,4473,Valudor Products,valudor.com,1/1/03,11280 El Camino Real Suite 210,San Diego,CA,92130,43.6 million,56,11,Manufacturing,43602126
2017,4331,Pariveda Solutions,parivedasolutions.com,1/1/03,2811 McKinney Ave Suite #220,Dallas,TX,75204,97.9 million,60,514,IT Services,97854379
2017,1986,Online Rewards,online-rewards.com,1/1/02,3102 Maple Ave #450,Dallas,TX,75201,51.8 million,190,55,Business Products & Services,51764106
2017,4720,Rabbit Air,rabbitair.com,1/1/04,125 N Raymond Ave unit 308,Pasadena,CA,91103,9 million,48,18,Consumer Products & Services,9011792
2017,4067,eClinicalWorks,eclinicalworks.com,1/1/99,2 Technology Drive ,Westborough,MA,01581,444 million,68,4716,Health,444000000
2017,3214,C2 Education,c2education.com,1/1/02,6465 East Johns Crossing suite100,Johns Creek,GA,30097,82.6 million,101,1484,Education,82565000
2017,3905,Logistic Dynamics,logisticdynamics.com,1/1/03,1140 Wehrle Dr ,Buffalo,NY,14221,82.6 million,74,22,Logistics & Transportation,82573592
2017,4979,Teleproviders,teleproviders.com,1/1/04,23461 S. Point Drive Suite 185 23461 S. Point Drive Suite 185,Laguna Hills,CA,92653,10.7 million,41,13,Telecommunications,10694709
2017,2540,YapStone,yapstone.com,1/1/99,2121 N California Blvd Suite 400,Walnut Creek,CA,94596,210.9 million,139,391,Financial Services,210910000
2017,3033,ERP Analysts,erpgroup.com,1/1/03,425 Metro PLN Ste#510,Dublin,OH,43017,73.5 million,109,464,IT Services,73514510
2017,4593,TengoInternet,tengointernet.com,1/1/02,3300 North I-35 #600 ,Austin,TX,78705,6.4 million,52,30,Telecommunications,6391373
2017,542,Pinnacle Group,pinnacle1.com/home,1/1/96,5501 Lyndon B. Johnson Fwy suite 600,Dallas,TX,75240,1.9 billion,832,1268,Human Resources,1890058695
2017,4111,AppRiver,appriver.com,1/1/02,1101 Gulf Breeze Pkwy Suite 200,Gulf Breeze,FL,32561,72.8 million,66,256,IT Services,72788393
2017,2063,Medical Solutions,medicalsolutions.com,1/1/97,1010 N. 102nd Street Suite 300,Omaha,NE,68114,352.4 million,179,301,Health,352351569
2017,4021,AgileThought,agilethought.com,1/1/04,2502 North Rocky Point Drive Suite 900,Tampa,FL,33607,35.4 million,70,259,Software,35379942
2017,1230,Sales Partnerships,salespartnerships.com,1/1/97,350 Interlocken Blvd Suite 280,Broomfield,CO,80021,26.6 million,332,300,Business Products & Services,26591011
2017,4942,MindLeaf Technologies,mindleaf.com,1/1/93,19B Crosby Dr Ste 330,Bedford,MA,01730,14 million,42,234,Health,14012385
2017,3671,Insight Global,insightglobal.com,1/1/01,4170 Ashford Dunwoody Rd Suite 250,Atlanta,GA,30319,1.7 billion,83,36000,IT Services,1676696000
2017,3467,Hargrove Engineers + Constructors,hargrove-epc.com,1/1/95,20 S Royal St. ,Mobile,AL,36602,207.2 million,90,1200,Engineering,207230797
2017,3575,Horizontal Integration,horizontalintegration.com,1/1/03,1660 Highway 100 South Suite 200,Saint Louis Park,MN,55419,82.4 million,86,461,IT Services,82392942
2017,3968,MAQ Software,maqsoftware.com,1/1/00,15446 Bel Red Road Suite 201,Redmond,WA,98052,38.4 million,72,500,Advertising & Marketing,38393892
2017,2608,Send Word Now,sendwordnow.com,1/1/01,500 Plaza Dr Suite 205,Secuacus,NJ,07094,45.3 million,134,106,Telecommunications,45337000
2017,3728,Aspen Exteriors,aspenexteriors.com,1/1/02,14245 St. Francis Blvd. Suite #101,Ramsey,MN,55303,9.9 million,80,15,Construction,9855720
2017,4538,Dynamic Systems,dynamicsystemsinc.com,1/1/91,124 Maryland Street ,El Segundo,CA,90245,125 million,54,60,IT Services,125021466
2017,4000,EXCLUSIVE Concepts,exclusiveconcepts.com,1/1/97,30 Corporate Drive Suite 350 30 Corporate Drive Suite 350,Burlington,MA,01803,7.9 million,71,58,Advertising & Marketing,7855286
2017,2578,Monogram Foods,monogramfoods.com,1/1/04,530 Oak Court Dr. Suite 400,Memphis,TN,38117,565.6 million,136,2700,Food & Beverage,565607000
2017,3337,Packsize International,packsize.com,1/1/02,3760 Smart Pack Way ,Salt Lake City,UT,84104,204 million,96,350,Manufacturing,204016981
2017,3875,Journey Mexico,journeymexico.com,1/1/03,2163 Lima Loop 130-144,Laredo,TX,78045,10.2 million,75,42,Travel & Hospitality,10177778
2017,3757,Vaco,vaco.com,1/1/02,5410 Maryland Way Ste 460,Brentwood,TN,37027,342.5 million,79,3640,Human Resources,342496259
2017,4722,Javen Technologies,javentechnologies.com,1/1/03,8030 Old Cedar Ave S # 225 ,Bloomington,MN,55425,14 million,48,85,IT Services,13968753
