_ - id,_ - url,_ - rank,_ - city,_ - ifmid,_ - ifiid,_ - growth,_ - workers,_ - company,_ - website,_ - state_l,_ - state_s,_ - revenue,_ - zipcode,_ - founded,_ - industry,_ - latitude,_ - metrocode,_ - longitude,_ - yrs_on_list,_ - previous_workers,_ - metro,_ - partner_lists - partner_lists
71021,swanleap,1,Madison,78,6,75660.8425,49,SwanLeap,http://swanleap.com,Wisconsin,WI,98965631,53719,2013,Logistics & Transportation,43.04531,"Madison, WI",-89.51538,2,4,"Madison, WI",
87397,popsockets,2,Boulder,31,4,71423.762,118,PopSockets,http://popsockets.com,Colorado,CO,168837562,80301,2010,Consumer Products & Services,40.04947,"Boulder, CO",-105.20142,1,2,"Boulder, CO",
87398,home-chef,3,Chicago,17,11,60165.5058,865,Home Chef,homechef.com,Illinois,IL,255047839,60611,2013,Food & Beverage,41.8957,"Chicago-Naperville-Elgin, IL-IN-WI",-87.61378,1,35,Chicago,
81957,velocity-global,4,Denver,30,17,39816.5093,55,Velocity Global,http://velocityglobal.com,Colorado,CO,49175942,80205,2013,Business Products & Services,39.75886,"Denver-Aurora-Lakewood, CO",-104.96283,1,1,Denver,
87399,depcom-power,5,Scottsdale,46,16,38962.9022,104,DEPCOM Power,depcompower.com,Arizona,AZ,219574136,85258,2013,Energy,33.5643,"Phoenix-Mesa-Scottsdale, AZ",-111.89588,1,27,Phoenix,
87400,aeronux-airways,6,Marietta,29,6,20005.239,17,Aeronux Airways,aeronux.com,Georgia,GA,21874500,30066,2011,Logistics & Transportation,34.03239,"Atlanta-Sandy Springs-Roswell, GA",-84.50515,1,3,Atlanta,
87401,diamond-assets,7,Milton,171,25,19717.5129,41,Diamond Assets,diamond-assets.com,Wisconsin,WI,43084462,53563,2014,Computer Hardware,42.80449,"Janesville, WI",-88.91599,1,2,,
87402,gforce-life-sciences,8,Chicago,17,21,16426.6575,13,GForce Life Sciences,http://gforcestaff.com,Illinois,IL,16893384,60606,2013,Human Resources,41.88207,"Chicago-Naperville-Elgin, IL-IN-WI",-87.63735,1,3,Chicago,
86959,flexport,8,San Francisco,4,6,15911.2237,532,Flexport,http://flexport.com,California,CA,224745864,94102,2013,Logistics & Transportation,37.77959,"San Francisco-Oakland-Hayward, CA",-122.41932,1,26,San Francisco,
69341,scientistcom,9,Solana Beach,11,10,15267.7557,49,Scientist.com,http://scientist.com,California,CA,50268390,92075,2007,Health,32.99725,"San Diego-Carlsbad, CA",-117.26058,2,8,San Diego,
43343,the-garrett-companies,10,Greenwood,81,3,14821.8995,40,The Garrett Companies,http://thegarrettco.com,Indiana,IN,82070447,46143,2014,Real Estate,39.59586,"Indianapolis-Carmel-Anderson, IN",-86.11632,3,6,"Indianapolis, IN",
70931,dgc-international,11,Vienna,3,7,14475.5148,55,DGC International,dgci.com,Virginia,VA,179707790,22182,2010,Government Services,38.93842,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.27552,2,4,"Washington, DC",
87403,exabeam,12,San Mateo,4,13,14032.4773,153,Exabeam,exabeam.com,California,CA,18781497,94403,2013,Security,37.53845,"San Francisco-Oakland-Hayward, CA",-122.30545,1,22,San Francisco,
87000,podium,13,Lehi,48,17,13645.2287,254,Podium,podium.com,Utah,UT,30248850,84043,2013,Business Products & Services,40.41076,"Provo-Orem, UT",-111.87679,1,5,"Provo-Orem, UT",
87404,inova-us,14,Key Biscayne,1,5,13135.1845,25,Inova US,inovaus.com,Florida,FL,39445482,33149,2008,Advertising & Marketing,25.71951,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.16854,1,12,Miami,
