_ - rank,Profile,name,url,state,_ - revenue,_ - growth,_ - industry,_ - workers,_ - founded,_ - yrs_on_list,_ - previous_workers,_ - metro,city
314,https://www.inc.com/profile/360ia,360ia,360ia.com,LA,2000000,1455.2822,Software,41,2015,1,15,,Lafayette
332,https://www.inc.com/profile/modavate,Modavate,modavate.com,GA,2000000,1405.0606,Advertising & Marketing,12,2007,1,2,Atlanta,Buford
340,https://www.inc.com/profile/power-target,Power Target,electricityrates.com,MD,2000000,1358.9993,Energy,5,2011,1,2,Baltimore,Millersville
379,https://www.inc.com/profile/stackify,Stackify,stackify.com,KS,2000000,1216.3501,Software,45,2012,1,12,"Kansas City, MO-KS",Leawood
394,https://www.inc.com/profile/realvolve,Realvolve,realvolve.com,CO,2000000,1163.9585,Software,24,2014,1,2,Denver,Greenwood Village
422,https://www.inc.com/profile/bridgetech,BridgeTech,http://bridge.tech,OR,2000000,1091.1066,IT Management,25,2014,1,2,,Portland
473,https://www.inc.com/profile/the-snapbar,The SnapBar,thesnapbar.com,WA,2000000,947.212,Business Products & Services,34,2012,1,4,Seattle,Gig Harbor
475,https://www.inc.com/profile/powerful-professionals,Powerful Professionals,http://powerfulprofessionals.com,GA,2000000,935.0348,Business Products & Services,5,2001,1,13,Atlanta,Alpharetta
542,https://www.inc.com/profile/native-digital,Native Digital,nativedigital.com,MO,2000000,812.0061,Advertising & Marketing,15,2015,1,1,"Kansas City, MO-KS",Kansas City
560,https://www.inc.com/profile/employdrive,Employdrive,employdrive.com,VA,2000000,794.0045,Business Products & Services,10,2009,1,5,"Richmond, VA",Glen Allen
596,https://www.inc.com/profile/the-shredder-medshred,The Shredder + MedShred,the-shredder.com,IA,2000000,746.0399,Business Products & Services,18,2011,1,4,"Des Moines, IA",Des Moines
639,https://www.inc.com/profile/kettlebell-kings,Kettlebell Kings,http://kettlebellkings.com,TX,2000000,692.0391,Retail,10,2013,1,1,Austin,Austin
704,https://www.inc.com/profile/sparkorange,Spark.Orange,sparkorange.net,NY,2000000,620.9103,Business Products & Services,21,2013,1,5,,Syracuse
732,https://www.inc.com/profile/freed-marcroft,Freed Marcroft,freedmarcroft.com,CT,2000000,597.794,Financial Services,16,2012,1,3,,Hartford
920,https://www.inc.com/profile/skynet-integrations,Skynet Integrations,skynetintegrations.com,FL,2000000,460.5518,Security,8,2013,1,5,Tampa,Tampa
